#{"t_start": 1762788408.883086, "env_id": "None"}
r,l,t
-49.938054,1,81.867533
-49.938054,1,81.978807
-49.938054,1,82.089971
-49.938054,1,82.201049
-49.938054,1,82.312125
-49.938054,1,82.423243
-49.938054,1,82.535697
-49.938054,1,82.647172
-49.938054,1,82.7618
-49.938054,1,82.872796
-49.938054,1,82.98387
-49.938054,1,83.095327
-49.938054,1,83.206391
-49.938054,1,83.317435
-49.938054,1,83.428727
-49.938054,1,83.539723
-49.938054,1,83.650798
-49.938054,1,83.763044
-49.938054,1,83.876865
-49.938054,1,83.987972
-49.938054,1,84.099553
-49.938054,1,84.210745
-49.938054,1,84.321804
-49.938054,1,84.432943
-49.938054,1,84.544519
-49.938054,1,84.65579
-49.938054,1,84.766938
-49.938054,1,84.87817
-49.938054,1,84.992885
-49.938054,1,85.104003
-49.938054,1,85.215424
-49.938054,1,85.326873
-49.938054,1,85.437918
-49.938054,1,85.549281
-49.938054,1,85.660771
-49.938054,1,85.771875
-49.938054,1,85.883136
-49.938054,1,85.994798
-49.938054,1,86.108649
-49.938054,1,86.219883
-49.938054,1,86.331195
-49.938054,1,86.442366
-49.938054,1,86.553641
-49.938054,1,86.664797
-49.938054,1,86.775782
-49.938054,1,86.88724
-49.938054,1,86.998742
-49.938054,1,87.110088
-49.938054,1,87.22451
-49.938054,1,87.335886
-49.938054,1,87.450593
-49.938054,1,87.561747
-49.938054,1,87.672914
-49.938054,1,87.784557
-49.938054,1,87.896263
-49.938054,1,88.007622
-49.938054,1,88.119094
-49.938054,1,88.2311
-49.938054,1,88.345587
-49.938054,1,88.456812
-49.938054,1,88.568642
-49.938054,1,88.68237
-49.938054,1,88.793493
-49.938054,1,88.904596
-49.938054,1,89.015702
-49.938054,1,89.126961
-49.938054,1,89.238326
-49.938054,1,89.349521
-49.938054,1,89.463808
-49.938054,1,89.574911
-49.938054,1,89.686633
-49.938054,1,89.797943
-49.938054,1,89.90977
-49.938054,1,90.02104
-49.938054,1,90.132296
-49.938054,1,90.244309
-49.938054,1,90.355661
-49.938054,1,90.46681
-49.938054,1,90.580682
-49.938054,1,90.691835
-49.938054,1,90.803293
-49.938054,1,90.914689
-49.938054,1,91.02577
-49.938054,1,91.137367
-49.938054,1,91.248757
-49.938054,1,91.359729
-49.938054,1,91.47104
-49.938054,1,91.582737
-49.938054,1,91.696555
-49.938054,1,91.807715
-49.938054,1,91.918715
-49.938054,1,92.029856
-49.938054,1,92.140993
-49.938054,1,92.252061
-49.938054,1,92.363081
-49.938054,1,92.474432
-49.938054,1,92.585686
-49.938054,1,92.696628
-49.938054,1,92.810457
-49.938054,1,92.921828
-49.938054,1,93.033228
-49.938054,1,93.14436
-49.938054,1,93.25572
-49.938054,1,93.367447
-49.938054,1,93.478632
-49.938054,1,93.590863
-49.938054,1,93.702482
-49.938054,1,93.813688
-49.938054,1,93.927207
-49.938054,1,94.038834
-49.938054,1,94.15067
-49.938054,1,94.261672
-49.938054,1,94.373392
-49.938054,1,94.485648
-49.938054,1,94.596668
-49.938054,1,94.707702
-49.938054,1,94.819314
-49.938054,1,94.930619
-49.938054,1,95.043942
-49.938054,1,95.15526
-49.938054,1,95.266668
-49.938054,1,95.377699
-49.938054,1,95.489085
-49.938054,1,95.600089
-49.938054,1,95.711255
-49.938054,1,95.82237
-49.938054,1,95.933341
-49.938054,1,96.044479
-49.938054,1,96.158569
-49.938054,1,96.270158
-49.938054,1,96.381413
-49.938054,1,96.49289
-49.938054,1,96.604886
-49.938054,1,96.716522
-49.938054,1,96.827724
-49.938054,1,96.938847
-49.938054,1,97.050222
-49.938054,1,97.16177
-49.938054,1,97.27805
-49.938054,1,97.391447
-49.938054,1,97.502894
-49.938054,1,97.613963
-49.938054,1,97.725383
-49.938054,1,97.836713
-49.938054,1,97.947721
-49.938054,1,98.058926
-49.938054,1,98.170289
-49.938054,1,98.281387
-49.938054,1,98.395595
-49.938054,1,98.506943
-49.938054,1,98.619337
-49.938054,1,98.730459
-49.938054,1,98.841522
-49.938054,1,98.952621
-49.938054,1,99.063687
-49.938054,1,99.174972
-49.938054,1,99.286145
-49.938054,1,99.397245
-49.938054,1,99.511301
-49.938054,1,99.622532
-49.938054,1,99.733666
-49.938054,1,99.844674
-49.938054,1,99.955834
-49.938054,1,100.066958
-49.938054,1,100.178101
-49.938054,1,100.289305
-49.938054,1,100.400472
-49.938054,1,100.511979
-49.938054,1,100.628047
-49.938054,1,100.739681
-49.938054,1,100.851357
-49.938054,1,100.962551
-49.938054,1,101.074127
-49.938054,1,101.185199
-49.938054,1,101.296234
-49.938054,1,101.408252
-49.938054,1,101.519356
-49.938054,1,101.630429
-49.938054,1,101.745226
-49.938054,1,101.856555
-49.938054,1,101.967802
-49.938054,1,102.079112
-49.938054,1,102.190652
-49.938054,1,102.301726
-49.938054,1,102.413362
-49.938054,1,102.524813
-49.938054,1,102.635913
-49.938054,1,102.74747
-49.938054,1,102.861555
-49.938054,1,102.972641
-49.938054,1,103.083712
-49.938054,1,103.194845
-49.938054,1,103.305867
-49.938054,1,103.416936
-49.938054,1,103.528218
-49.938054,1,103.639272
-49.938054,1,103.750333
-49.938054,1,103.861665
-49.938054,1,103.975674
-49.938054,1,104.08681
-49.938054,1,104.198149
-49.938054,1,104.309769
-49.938054,1,104.420857
-49.938054,1,104.531997
-49.938054,1,104.643691
-49.938054,1,104.755124
-49.938054,1,104.866187
-49.938054,1,104.977817
-49.938054,1,105.091352
-49.938054,1,105.202667
-49.938054,1,105.313621
-49.938054,1,105.424788
-49.938054,1,105.535854
-49.938054,1,105.647045
-49.938054,1,105.758151
-49.938054,1,105.869229
-49.938054,1,105.980533
-49.938054,1,106.092937
-49.938054,1,106.210336
-49.938054,1,106.321587
-49.938054,1,106.433651
-49.938054,1,106.544848
-49.938054,1,106.655886
-49.938054,1,106.767312
-49.938054,1,106.878773
-49.938054,1,106.989856
-49.938054,1,107.101281
-49.938054,1,107.212981
-49.938054,1,107.328259
-49.938054,1,107.439306
-49.938054,1,107.551145
-49.938054,1,107.663806
-49.938054,1,107.775294
-49.938054,1,107.886863
-49.938054,1,107.999437
-49.938054,1,108.110837
-49.938054,1,108.222677
-49.938054,1,108.334742
-49.938054,1,108.451971
-49.938054,1,108.563486
-49.938054,1,108.674827
-49.938054,1,108.786601
-49.938054,1,108.898364
-49.938054,1,109.009829
-49.938054,1,109.121166
-49.938054,1,109.23243
-49.938054,1,109.343716
-49.938054,1,109.455129
-49.938054,1,109.569842
-49.938054,1,109.681701
-49.938054,1,109.792827
-49.938054,1,109.904238
-49.938054,1,110.015745
-49.938054,1,110.126995
-49.938054,1,110.238409
-49.938054,1,110.350167
-49.938054,1,110.461257
-49.938054,1,110.572301
-49.938054,1,110.687155
-49.938054,1,110.798432
-49.938054,1,110.909759
-49.938054,1,111.021106
-49.938054,1,111.133086
-49.938054,1,111.244185
-49.938054,1,111.355425
-49.938054,1,111.467001
-49.938054,1,111.578364
-49.938054,1,111.689679
-49.938054,1,111.804717
-49.938054,1,111.91633
-49.938054,1,112.027477
-49.938054,1,112.138906
-49.938054,1,112.250506
-49.938054,1,112.361816
-49.938054,1,112.47315
-49.938054,1,112.584593
-49.938054,1,112.695681
-49.938054,1,112.807062
-49.938054,1,113.161143
-49.938054,1,113.620276
-49.938054,1,113.744048
-49.938054,1,113.865129
-49.938054,1,113.986022
-49.938054,1,114.107062
-49.938054,1,114.230022
-49.938054,1,114.350398
-49.938054,1,114.472831
-49.938054,1,114.59533
-49.938054,1,114.723485
-49.938054,1,114.84679
-49.938054,1,114.968209
-49.938054,1,115.090236
-49.938054,1,115.21281
-49.938054,1,115.332994
-49.938054,1,115.455373
-49.938054,1,115.578809
-49.938054,1,115.700493
-49.938054,1,115.822708
-49.938054,1,115.949789
-49.938054,1,116.071648
-49.938054,1,116.195225
-49.938054,1,116.316511
-49.938054,1,116.437186
-49.938054,1,116.560474
-49.938054,1,116.681874
-49.938054,1,116.801831
-49.938054,1,116.925691
-49.938054,1,117.047743
-49.938054,1,117.175508
-49.938054,1,117.298804
-49.938054,1,117.421485
-49.938054,1,117.54331
-49.938054,1,117.665807
-49.938054,1,117.788287
-49.938054,1,117.910586
-49.938054,1,118.033132
-49.938054,1,118.152622
-49.938054,1,118.275021
-49.938054,1,118.402379
-49.938054,1,118.523968
-49.938054,1,118.645321
-49.938054,1,118.766615
-49.938054,1,118.887156
-49.938054,1,119.011626
-49.938054,1,119.133561
-49.938054,1,119.253639
-49.938054,1,119.375743
-49.938054,1,119.498506
-49.938054,1,119.625868
-49.938054,1,119.752368
-49.938054,1,119.873577
-49.938054,1,119.996
-49.938054,1,120.116939
-49.938054,1,120.241466
-49.938054,1,120.365448
-49.938054,1,120.4867
-49.938054,1,120.607532
-49.938054,1,120.731201
-49.938054,1,120.857929
-49.938054,1,120.982159
-49.938054,1,121.104115
-49.938054,1,121.225619
